season,team,division
1990,DET,E
1990,SEA,W
1990,MIL,E
1990,BAL,E
1990,MIN,W
1990,TOR,E
1990,CIN,W
1990,SDN,W
1990,PIT,E
1990,MON,E
1990,CHA,W
1990,TEX,W
1990,PHI,E
1990,LAN,W
1990,SFN,W
1990,BOS,E
1990,CLE,E
1990,OAK,W
1990,NYN,E
1990,SLN,E
1990,CHN,E
1990,NYA,E
1990,ATL,W
1990,HOU,W
1990,ANA,W
1990,KCA,W
1991,CHA,W
1991,NYA,E
1991,CLE,E
1991,MIL,E
1991,BOS,E
1991,HOU,W
1991,PHI,E
1991,MON,E
1991,MIN,W
1991,ANA,W
1991,SLN,E
1991,SFN,W
1991,LAN,W
1991,SEA,W
1991,BAL,E
1991,PIT,E
1991,SDN,W
1991,ATL,W
1991,OAK,W
1991,TOR,E
1991,NYN,E
1991,CIN,W
1991,KCA,W
1991,TEX,W
1991,DET,E
1991,CHN,E
1992,CLE,E
1992,TOR,E
1992,MIN,W
1992,KCA,W
1992,TEX,W
1992,SDN,W
1992,SFN,W
1992,MON,E
1992,NYN,E
1992,CHA,W
1992,BOS,E
1992,ATL,W
1992,CHN,E
1992,CIN,W
1992,LAN,W
1992,MIL,E
1992,NYA,E
1992,BAL,E
1992,SLN,E
1992,PIT,E
1992,SEA,W
1992,DET,E
1992,OAK,W
1992,ANA,W
1992,PHI,E
1992,HOU,W
1993,TEX,W
1993,NYA,E
1993,BOS,E
1993,DET,E
1993,ATL,W
1993,MON,E
1993,LAN,W
1993,PHI,E
1993,COL,W
1993,MIL,E
1993,CHA,W
1993,TOR,E
1993,SDN,W
1993,SFN,W
1993,MIN,W
1993,BAL,E
1993,CLE,E
1993,HOU,W
1993,CHN,E
1993,CIN,W
1993,ANA,W
1993,KCA,W
1993,PIT,E
1993,MIA,E
1993,OAK,W
1993,SEA,W
1993,NYN,E
1993,SLN,E
1994,SLN,C
1994,KCA,C
1994,DET,E
1994,SEA,W
1994,TEX,W
1994,CHA,C
1994,NYN,E
1994,PHI,E
1994,MON,E
1994,ATL,E
1994,PIT,C
1994,OAK,W
1994,ANA,W
1994,MIA,E
1994,BOS,E
1994,CLE,C
1994,CHN,C
1994,COL,W
1994,BAL,E
1994,TOR,E
1994,MIN,C
1994,MIL,C
1994,CIN,C
1994,NYA,E
1994,SFN,W
1994,HOU,W
1994,SDN,W
1994,LAN,W
1995,LAN,W
1995,MIN,C
1995,DET,E
1995,BAL,E
1995,CHA,C
1995,TEX,W
1995,OAK,W
1995,SFN,W
1995,CHN,C
1995,NYN,E
1995,MON,E
1995,HOU,W
1995,PHI,E
1995,MIL,C
1995,CLE,C
1995,NYA,E
1995,ANA,W
1995,COL,W
1995,ATL,E
1995,SLN,C
1995,PIT,C
1995,CIN,C
1995,MIA,E
1995,BOS,E
1995,SEA,W
1995,SDN,W
1995,KCA,C
1995,TOR,E
1996,CHA,C
1996,DET,E
1996,TOR,E
1996,BOS,E
1996,SFN,W
1996,SDN,W
1996,PIT,C
1996,LAN,W
1996,SLN,C
1996,KCA,C
1996,MIL,C
1996,NYA,E
1996,MON,E
1996,COL,W
1996,BAL,E
1996,CIN,C
1996,NYN,E
1996,CHN,C
1996,ATL,E
1996,PHI,E
1996,MIA,E
1996,MIN,C
1996,TEX,W
1996,SEA,W
1996,OAK,W
1996,ANA,W
1996,CLE,C
1996,HOU,W
1997,COL,W
1997,CHN,C
1997,ATL,E
1997,PHI,E
1997,SLN,C
1997,NYN,E
1997,PIT,C
1997,DET,E
1997,NYA,E
1997,MIL,C
1997,CHA,C
1997,BOS,E
1997,KCA,C
1997,CLE,C
1997,CIN,C
1997,BAL,E
1997,MIN,C
1997,TEX,W
1997,HOU,W
1997,MIA,E
1997,MON,E
1997,TOR,E
1997,SDN,W
1997,LAN,W
1997,SEA,W
1997,ANA,W
1997,OAK,W
1997,SFN,W
1998,KCA,C
1998,CLE,C
1998,DET,C
1998,CHA,C
1998,COL,W
1998,MIL,C
1998,SDN,W
1998,CHN,C
1998,SFN,W
1998,PHI,E
1998,LAN,W
1998,NYA,E
1998,BOS,E
