date,home_team
4/9/1990,BOS
4/9/1990,ANA
4/9/1990,CHA
4/9/1990,KCA
4/9/1990,OAK
4/9/1990,TEX
4/9/1990,HOU
4/9/1990,LAN
4/9/1990,NYN
4/9/1990,SLN
4/10/1990,MIL
4/10/1990,TOR
4/10/1990,CHN
4/10/1990,SDN
4/11/1990,ATL
4/12/1990,DET
4/12/1990,NYA
4/13/1990,SEA
4/13/1990,MON
4/13/1990,PHI
4/13/1990,PIT
4/13/1990,SFN
4/17/1990,CIN
4/19/1990,BAL
4/19/1990,CLE
4/20/1990,MIN
5/28/1990,ANA
5/28/1990,CHA
5/28/1990,KCA
5/28/1990,MIN
5/28/1990,OAK
5/28/1990,SEA
5/28/1990,TEX
5/28/1990,ATL
5/28/1990,CHN
5/28/1990,HOU
5/28/1990,PHI
5/28/1990,PIT
6/24/1990,MON
7/1/1990,TOR
7/4/1990,CHA
7/4/1990,CLE
7/4/1990,KCA
7/4/1990,MIL
7/4/1990,MIN
7/4/1990,TEX
7/4/1990,LAN
7/4/1990,NYN
7/4/1990,PHI
7/4/1990,SDN
7/4/1990,SFN
9/3/1990,BAL
9/3/1990,BOS
9/3/1990,CHA
9/3/1990,DET
9/3/1990,MIL
9/3/1990,MIL
9/3/1990,NYA
9/3/1990,TEX
9/3/1990,ATL
9/3/1990,LAN
9/3/1990,MON
9/3/1990,PIT
9/3/1990,SDN
9/3/1990,SLN
4/8/1991,BAL
4/8/1991,DET
4/8/1991,KCA
4/8/1991,TEX
4/8/1991,TOR
4/8/1991,CIN
4/8/1991,NYN
4/8/1991,PIT
4/9/1991,OAK
4/9/1991,SEA
4/9/1991,CHN
4/9/1991,SDN
4/10/1991,ATL
4/11/1991,BOS
4/12/1991,MIN
4/12/1991,HOU
4/12/1991,LAN
4/12/1991,PHI
4/15/1991,ANA
4/15/1991,MIL
4/15/1991,NYA
4/15/1991,MON
4/15/1991,SFN
4/16/1991,CLE
4/18/1991,CHA
4/19/1991,SLN
5/27/1991,BAL
5/27/1991,MIL
5/27/1991,NYA
5/27/1991,SEA
5/27/1991,TEX
5/27/1991,CHN
5/27/1991,LAN
5/27/1991,PHI
5/27/1991,SDN
5/27/1991,SFN
5/27/1991,SLN
7/1/1991,TOR
7/4/1991,BOS
7/4/1991,ANA
7/4/1991,CLE
7/4/1991,NYA
7/4/1991,SEA
7/4/1991,TEX
7/4/1991,ATL
7/4/1991,CHN
7/4/1991,PHI
7/4/1991,SDN
7/4/1991,SFN
9/2/1991,CHA
9/2/1991,MIL
9/2/1991,MIN
9/2/1991,SEA
9/2/1991,TEX
9/2/1991,TOR
9/2/1991,LAN
9/2/1991,MON
9/2/1991,NYN
9/2/1991,PHI
9/2/1991,SDN
9/2/1991,SFN
4/6/1992,BAL
4/6/1992,DET
4/6/1992,MIL
4/6/1992,OAK
4/6/1992,SEA
4/6/1992,CIN
4/6/1992,LAN
4/6/1992,PIT
4/6/1992,SLN
4/7/1992,ANA
4/7/1992,NYA
4/7/1992,HOU
4/7/1992,PHI
4/9/1992,ATL
4/9/1992,SDN
4/10/1992,MIN
4/10/1992,TOR
4/10/1992,CHN
4/10/1992,NYN
4/11/1992,CLE
4/13/1992,BOS
4/13/1992,CHA
4/13/1992,KCA
4/13/1992,TEX
4/13/1992,MON
4/14/1992,SFN
5/25/1992,NYA
5/25/1992,OAK
5/25/1992,SEA
5/25/1992,NYN
5/25/1992,PHI
5/25/1992,SDN
5/25/1992,SLN
6/24/1992,MON
7/1/1992,TOR
7/3/1992,CHA
7/3/1992,CLE
7/3/1992,DET
7/3/1992,DET
7/3/1992,KCA
7/3/1992,MIN
7/3/1992,TEX
7/3/1992,ATL
7/3/1992,LAN
7/3/1992,LAN
7/3/1992,PIT
7/3/1992,SDN
7/3/1992,SFN
7/4/1992,CHA
7/4/1992,CLE
7/4/1992,DET
7/4/1992,MIN
7/4/1992,TEX
7/4/1992,ATL
7/4/1992,LAN
7/4/1992,NYN
7/4/1992,NYN
7/4/1992,PIT
7/4/1992,SDN
7/4/1992,SFN
9/7/1992,BAL
9/7/1992,ANA
9/7/1992,KCA
9/7/1992,MIL
9/7/1992,MIN
9/7/1992,TEX
9/7/1992,ATL
9/7/1992,HOU
9/7/1992,MON
9/7/1992,PHI
9/7/1992,PIT
9/7/1992,SFN
4/5/1993,BAL
4/5/1993,CLE
4/5/1993,KCA
4/5/1993,OAK
4/5/1993,CHN
4/5/1993,CIN
4/5/1993,ANA
4/5/1993,HOU
4/5/1993,NYN
4/6/1993,ANA
4/6/1993,MIN
4/6/1993,SEA
4/6/1993,PIT
4/6/1993,SLN
4/8/1993,ATL
4/9/1993,CHA
4/9/1993,TEX
4/9/1993,TOR
4/9/1993,COL
4/9/1993,PHI
4/12/1993,MIL
4/12/1993,NYA
4/12/1993,SDN
4/12/1993,SFN
4/13/1993,BOS
4/13/1993,DET
4/13/1993,LAN
4/13/1993,MON
5/31/1993,BOS
