season,park_id,park_capacity
1990,BOS07,33368
1990,ANA01,64573
1990,CHI10,43951
1990,KAN06,40613
1990,OAK01,48219
1990,ARL01,41284
1990,HOU02,54816
1990,LOS03,56000
1990,NYC17,55775
1990,STL09,50222
1990,MIL05,53192
1990,TOR02,50516
1990,CHI11,39600
1990,SAN01,59022
1990,ATL01,52700
1990,DET04,52806
1990,NYC16,57545
1990,SEA02,59438
1990,MON02,59149
1990,PHI12,62382
1990,PIT07,47952
1990,SFO02,58945
1990,CIN08,52953
1990,BAL11,54017
1990,CLE07,74483
1990,MIN03,55883
1991,BAL11,53371
1991,DET04,52806
1991,KAN06,40613
1991,ARL01,41284
1991,TOR02,50516
1991,CIN08,52953
1991,NYC17,55775
1991,PIT07,47952
1991,OAK01,48219
1991,SEA02,59438
1991,CHI11,39600
1991,SAN01,59022
1991,ATL01,52700
1991,BOS07,33368
1991,MIN03,55883
1991,HOU02,54816
1991,LOS03,56000
1991,PHI12,62382
1991,ANA01,64573
1991,MIL05,53192
1991,NYC16,57545
1991,MON02,60111
1991,SFO02,58945
1991,CLE07,74483
1991,CHI12,44702
1991,STL09,50222
1992,BAL12,48079
1992,DET04,52806
1992,MIL05,53192
1992,OAK01,48219
1992,SEA02,59438
1992,CIN08,52953
1992,LOS03,56000
1992,PIT07,47952
1992,STL09,49779
1992,ANA01,64573
1992,NYC16,57545
1992,HOU02,54816
1992,PHI12,62382
1992,ATL01,52700
1992,SAN01,59022
1992,MIN03,55883
1992,TOR02,50516
1992,CHI11,39600
1992,NYC17,55775
1992,CLE07,74483
1992,BOS07,33368
1992,CHI12,44702
1992,KAN06,40613
1992,ARL01,41284
1992,MON02,46500
1992,SFO02,58945
1993,BAL12,48079
1993,CLE07,74483
1993,KAN06,40613
1993,OAK01,48219
1993,CHI11,39600
1993,CIN08,52953
1993,MIA01,47662
1993,HOU02,54816
1993,NYC17,55775
1993,ANA01,64573
1993,MIN03,55883
1993,SEA02,59438
1993,PIT07,47952
1993,STL09,49779
1993,ATL01,52700
1993,CHI12,44321
1993,ARL01,43521
1993,TOR02,50516
1993,DEN01,76123
1993,PHI12,62382
1993,MIL05,53192
1993,NYC16,57545
1993,SAN01,59022
1993,SFO02,58945
1993,BOS07,34218
1993,DET04,52806
1993,LOS03,56000
1993,MON02,46500
1994,CIN08,52953
1994,BAL12,48079
1994,BOS07,34218
1994,CLE08,42865
1994,NYC16,57545
1994,TOR02,50516
1994,CHI11,39600
1994,DEN01,76123
1994,HOU02,54816
1994,SAN01,59022
1994,SFO02,58945
1994,MIL05,53192
1994,MIN03,55883
1994,LOS03,56000
1994,CHI12,44321
1994,KAN06,40613
1994,MON02,46500
1994,PIT07,47952
1994,ANA01,64573
1994,DET04,52806
1994,OAK01,48219
1994,SEA02,59438
1994,ARL02,49178
1994,NYC17,55775
1994,PHI12,62382
1994,ATL01,52900
1994,MIA01,47662
1994,STL09,49779
1995,MIA01,47662
1995,BOS07,34218
1995,ANA01,64573
1995,KAN06,40613
1995,MIL05,53192
1995,NYC16,57545
1995,TOR02,50516
1995,ATL01,52900
1995,CIN08,52953
1995,DEN02,50200
1995,PIT07,47952
1995,SAN01,59022
1995,STL09,49779
1995,CHI12,44321
1995,MIN03,55883
1995,SEA02,59438
1995,ARL02,49178
1995,CHI11,39600
1995,HOU02,54816
1995,LOS03,56000
1995,NYC17,55775
1995,PHI12,62382
1995,SFO02,57546
1995,BAL12,48079
1995,DET04,52806
1995,MON02,46500
1995,CLE08,42865
1995,OAK01,48219
1996,SEA02,59438
1996,MIN03,44457
1996,LAS01,9500
1996,ARL02,48100
1996,ATL01,52900
1996,CHI11,39600
1996,MIA01,47662
1996,HOU02,54816
1996,NYC17,55775
1996,BAL12,48079
1996,ANA01,64573
1996,CLE08,42865
1996,CIN08,52953
1996,PHI12,62382
1996,KAN06,40613
1996,MON02,46500
1996,DEN02,50200
1996,LOS03,56000
1996,PIT07,47952
1996,SAN01,59022
1996,STL09,49779
1996,BOS07,34218
1996,CHI12,44321
1996,DET04,52806
1996,MIL05,53192
1996,NYC16,57545
1996,TOR02,50516
1996,SFO02,57546
1996,OAK01,42219
1996,MNT01,27000
1997,CIN08,52953
1997,MIA01,47662
1997,HOU02,54816
1997,LOS03,56000
1997,MON02,46500
1997,SAN01,67544
1997,SFO02,57546
1997,MIN03,48678
1997,SEA02,59438
1997,ARL02,49166
1997,TOR02,50516
1997,ANA01,33851
1997,BAL12,48079
1997,OAK01,42219
1997,ATL02,50528
1997,CHI12,44321
1997,DEN02,50200
1997,DET04,52806
1997,KAN06,40613
1997,MIL05,53192
1997,CHI11,39600
1997,STL09,49779
1997,PHI12,62382
1997,PIT07,47952
1997,BOS07,34218
1997,CLE08,43863
1997,NYC16,57545
1997,NYC17,55775
1997,HON01,50000
1998,BAL12,48079
1998,SEA02,59438
1998,STP01,45000
1998,ARL02,49166
1998,PHO01,48700
1998,ATL02,49714
1998,CIN08,52953
1998,MIA01,47662
1998,HOU02,54816
1998,NYC17,55775
1998,STL09,49779
1998,ANA01,45054
1998,OAK01,42219
1998,TOR02,50516
1998,MON02,46500
1998,MIN03,48678
1998,CHI11,39600
1998,CHI12,44321
1998,DET04,52806
1998,KAN06,40613
1998,DEN02,50200
1998,LOS03,56000
1998,MIL05,43340
1998,PHI12,62382
1998,PIT07,47952
1998,SAN01,67544
1998,SFO02,57546
1998,BOS07,34218
1998,CLE08,43863
1998,NYC16,57545
1999,MNT01,27000
1999,BAL12,48079
1999,KAN06,40613
1999,OAK01,42219
1999,SEA02,59438
1999,ARL02,49166
1999,ATL02,49714
1999,CIN08,52953
1999,MIA01,47662
1999,LOS03,56000
1999,PIT07,47952
1999,STL09,49779
1999,ANA01,45054
1999,MIN03,48678
1999,HOU02,54313
1999,SAN01,67544
1999,MON02,46500
1999,SFO02,57546
1999,CHI12,44321
1999,NYC16,57545
1999,STP01,45000
1999,CLE08,43863
1999,DET04,46945
1999,TOR02,50516
1999,PHO01,48700
1999,CHI11,39600
1999,DEN02,50200
1999,NYC17,55775
1999,PHI12,62382
1999,BOS07,34218
1999,MIL05,43340
1999,SEA03,46621
2000,TOK01,55000
2000,ATL02,49714
2000,CIN08,52953
2000,MIA01,47662
2000,MON02,46500
2000,NYC17,55775
2000,STL09,49779
2000,ANA01,45054
2000,BAL12,48079
2000,MIN03,48678
2000,OAK01,42219
2000,ARL02,49166
2000,TOR02,50516
2000,PHO01,48700
2000,PIT07,47687
2000,SEA03,46621
2000,HOU03,40950
2000,KAN06,40613
2000,STP01,45000
2000,CHI11,39600
2000,DEN02,50200
2000,MIL05,43340
2000,PHI12,62382
2000,SAN01,56133
2000,SFO03,40930
2000,BOS07,34218
2000,DET05,40120
2000,NYC16,57545
2000,LOS03,56000
2000,CHI12,44321
2000,CLE08,43863
2001,SJU01,18000
2001,BAL12,48079
2001,CLE08,43863
2001,NYC16,57545
2001,SEA03,46621
2001,CHI11,39600
2001,CIN08,39000
2001,DEN02,50200
2001,MIA01,42531
2001,LOS03,56000
2001,SFO03,40930
2001,DET05,40120
2001,STP01,45000
2001,ARL02,49166
2001,ATL02,50091
2001,HOU03,40950
2001,BOS07,33993
2001,CHI12,45936
2001,KAN06,40613
2001,OAK01,43662
2001,PHO01,49033
2001,MIL06,42885
2001,MON02,46500
2001,PHI12,62409
2001,MIN03,48678
2001,TOR02,50516
2001,NYC17,55777
2001,PIT08,38365
2001,STL09,49676
2001,ANA01,45054
2001,SAN01,56133
2002,ANA01,45054
2002,BAL12,48079
2002,BOS07,33993
2002,KAN06,40613
2002,OAK01,43662
2002,SEA03,46621
2002,PHO01,49033
2002,ATL02,50091
2002,CIN08,39000
2002,NYC17,55777
2002,STL09,49738
2002,STP01,45000
2002,HOU03,40950
2002,LOS03,56000
2002,MON02,46500
2002,TOR02,50516
2002,DET05,40120
2002,NYC16,57545
2002,ARL02,49166
2002,CHI11,39600
2002,MIL06,42885
2002,PHI12,62409
2002,SFO03,40930
2002,CLE08,43863
2002,DEN02,50200
2002,MIA01,42531
2002,PIT08,38365
2002,SAN01,66307
2002,CHI12,45936
2002,MIN03,48678
2003,ANA01,45054
2003,BAL12,48190
2003,DET05,40120
2003,KAN06,40793
2003,STP01,43772
