team,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ARI,,,,,,,,,14.7,16.58,16.58,13.11,13.8,15.46,17.73,19.24,19.68,13.79,15.96,14.31,14.31,15.74,15.74,16.89,17.98,17.98,18.53,19.09
ATL,7.16,7.16,8.4,9.76,12,12,13.06,17.18,17.18,19.21,19.78,20.77,20.59,17.51,17.51,17.51,17.07,17.17,17.05,17.05,17.05,19.38,16.69,17.32,18.53,19.14,19.38,25.55
BAL,8.48,8.48,9.65,11.12,11.17,13.14,13.14,17.02,19.77,19.82,19.78,18.23,18.23,20.15,22.53,22.53,22.53,22.45,23.85,23.42,23.42,23.9,23.89,23.9,24.97,24.97,29.96,29.96
BOS,11.28,11.28,11.67,11.67,13.51,13.51,15.43,17.93,20.63,24.05,28.33,34.86,39.68,38.59,40.77,44.56,46.46,47.71,48.8,50.24,52.32,53.38,53.38,53.38,52.32,52.34,54.79,55.88
CHA,10.26,10.26,11.7,11.7,12.91,12.93,14.11,13.33,14.48,15.04,14.3,18.73,18.73,22.51,22.71,25.89,26.19,28.78,30.28,32.28,38.65,40.67,29,26.05,26.05,26.05,29.55,28.14
CHN,10.1,10.1,10.87,11.74,13.12,13.17,13.12,14.63,14.42,17.46,17.55,21.17,24.05,24.21,28.45,32,34.3,34.3,42.49,47.75,52.56,46.9,46.3,44.55,44.16,44.81,51.33,54.95
CIN,8.96,8.96,7.2,7.95,7.95,7.95,7.95,8.37,8.37,9.71,10.74,15.41,16.66,18.12,17.9,17.9,17.9,17.71,19.41,19.19,19.19,20.56,20.49,21.4,22.03,22.03,22.01,21.58
CLE,7.16,7.16,7.7,8.7,12.06,12.06,14.52,15.29,17.35,18.43,20.58,22.33,22.33,22.23,20.29,21.17,21.54,21.32,25.72,22.12,22.12,18.49,20.42,19.59,21.31,22.38,25.61,27.83
COL,,,,7.91,7.9,10.61,10.61,12.76,15.79,15.79,16.5,15.21,15.21,15.21,15.1,14.92,14.72,16.5,19.5,19.5,19.5,19.5,20.55,23.65,23.65,23.65,23.99,25.01
DET,8.96,8.96,8.96,9.42,11.11,10.6,10.6,10.4,10.4,12.23,24.83,20.95,20.44,19.86,17.9,18.48,18.48,19.45,25.28,27.38,23.48,29.32,31,26.36,28.22,29.01,28.88,28.52
MIA,,,,9.73,9.92,9.65,10.37,10.89,12.15,12.17,12.53,12.72,12.72,12.78,11.94,15.55,16.7,16.57,18.69,19.06,19.06,19.06,29.62,29.27,27.01,28.96,28.31,30.04
HOU,9.08,9.08,8.26,8.26,8.91,8.91,10.65,11.4,11.88,13.3,20.03,17.72,18.87,20.78,22.91,24.83,26.66,26.9,28.73,28.73,29.29,30.84,30.09,30.09,27.98,31.82,37.25,38.75
KCA,8.26,8.26,9.2,9.2,10.2,10.05,9.74,9.65,10.69,11.76,11.76,12.98,12.3,12.13,13.42,13.71,13.71,14.48,17.54,19.38,19.38,18.95,21.84,19.83,24.73,29.76,26.88,30.23
ANA,8.76,8.76,8.02,8.02,8.06,8.06,8.44,9.68,11.83,13.19,13.19,11.42,11.79,15.97,16.6,17.36,18.97,19.49,20.78,20.05,18.93,17.13,19.71,27.54,27.4,27.54,32.7,31.48
LAN,8.12,8.12,9.15,9.15,9.68,9.68,9.94,11.16,12.21,13.67,15.43,15.51,16.38,16.38,17.34,18.94,20.09,26.28,29.66,29.66,29.66,30.59,23.22,22.37,25.8,28.61,31.9,36.52
MIL,9.03,9.03,9.27,9.8,9.51,9.51,9.37,9.58,10.28,11.02,11.72,16.32,17.63,16.86,16.86,16.86,18.11,18.19,19.88,20.98,22.1,22.1,24.01,24.95,24.96,26.32,26.32,26.21
MIN,7.93,7.93,8.93,9.16,9.4,9.4,10.16,8.22,8.22,8.46,9.33,10.83,11.78,13,14.42,16.25,17.26,19.27,20.68,21.7,31.47,33.04,33.04,32.59,32.59,32.59,33.28,32.98
MON,9.17,9.17,8.67,8.63,8.58,8.92,9.07,8.37,9.98,9.38,10.29,9.19,9,10.08,10.82,,,,,,,,,,,,,
NYA,10.54,10.54,12.28,13.48,14.44,15.01,14.58,18.36,20.51,23.33,25.94,24.26,24.26,24.86,27.34,27.34,28.27,29.01,36.58,72.97,51.83,51.83,51.55,51.55,51.55,51.55,51.55,49.59
NYN,10.25,10.25,10.89,10.89,10.89,10.99,11.83,13.06,16.11,19.89,24.29,22.53,22.53,23.61,23.57,23.66,25.28,28.26,34.05,36.99,32.22,31.81,27.24,25.3,25.3,25.3,26.02,26.81
OAK,12.56,12.56,10.04,10.49,10.62,10.62,11.34,10.53,10.58,10.1,11.35,14.07,14.94,15.65,16.49,17.66,22.1,23.88,29.2,24.31,22.04,21.52,21.64,22.12,22.84,24,24.46,24.3
PHI,8.65,8.65,8.2,8.2,9.75,9.75,11.01,11.18,11.22,13.6,13.6,14.33,15.26,17.24,26.08,26.58,26.73,27.25,28.14,31.1,32.99,36.29,37.42,37.42,37.42,37.42,41.5,38.77
PIT,7.79,7.79,9.23,9.73,9.73,9.73,10.09,9.86,9.33,10.71,11.8,19.51,20.52,19.53,17.08,17.08,17.08,17.07,17.07,15.39,15.39,15.3,16.11,17.21,18.32,19.99,29.96,26.7
SDN,8.54,8.54,8.54,8.7,9.21,9.12,9.88,10.79,11.34,11.92,13.02,13.74,15.2,16.23,21.41,20.83,20.83,22.13,27.43,20.01,15.15,15.45,15.67,15.99,16.37,16.37,23.71,22.75
SEA,7,7,7.98,7.96,9.73,9.73,11.59,13.4,14.94,19.01,23.43,22.98,24.6,24.6,24.01,24.01,24.01,24.01,25.29,25.53,25.53,26.4,26.4,28.45,28.45,31,28.75,33.04
SFN,9.69,9.69,8.98,9.31,10.57,11.07,10.61,11.55,11.47,12.12,21.24,19.24,20.59,21.64,19.12,23.22,24.53,25.11,22.06,23.28,28.79,25.04,27.21,30.09,31.63,33.78,35.76,37.03
SLN,8.32,8.32,9.11,9.11,9.81,9.8,9.91,12.72,15.47,16.53,17.6,21.43,21.43,23.76,23.78,25.29,29.78,28.43,29.32,29.43,30.14,31.17,31.57,33.11,33.84,34.2,35.24,35.39
TBA,,,,,,,,,15.56,15.08,12.91,16.14,15.83,14.43,14.45,13.7,17.09,17.23,17.23,18.35,19.75,19.42,19.83,20.39,21.01,21.9,21.04,21.32
TEX,8.42,8.42,8.93,8.93,12.07,12.07,11.96,13.92,16.49,19.93,19.67,18.03,18.03,18.19,16.08,16.91,15.81,16.47,18.01,19.41,20.65,18.6,20.49,22.54,23.54,23.64,23.64,25.29
TOR,13.13,13.13,12.9,13.73,13.93,13.35,13.93,15.73,16.38,16.62,16.26,15.47,15.54,18.82,20.11,19.61,23.4,22.65,28.37,19.1,23.84,24.35,24.81,25.38,22.78,25.14,31.01,28.54
WAS,,,,,,,,,,,,,,,,21.43,20.88,21.11,25,30.63,30.63,30.54,30.54,35.24,35.24,36.02,36.59,39.31
