date,game_no,vis,home,,temp,wind_speed,conditions,percip
4/9/1990,0,DET,BOS,329720DETBOS,60,null,sunny,no precipitation
4/9/1990,0,SEA,ANA,329720SEACAL,60,0,night,no precipitation
4/9/1990,0,MIL,CHA,329720MILCHA,51,10,cloudy,drizzle
4/9/1990,0,CIN,HOU,329720CINHOU,null,null,in dome,null
4/9/1990,0,BAL,KCA,329720BALKCA,60,5,overcast,no precipitation
4/9/1990,0,SDN,LAN,329720SDNLAN,78,0,sunny,no precipitation
4/9/1990,0,PIT,NYN,329720PITNYN,50,null,sunny,no precipitation
4/9/1990,0,MIN,OAK,329720MINOAK,64,10,night,no precipitation
4/9/1990,0,MON,SLN,329720MONSLN,64,9,night,drizzle
4/9/1990,0,TOR,TEX,329720TORTEX,72,null,night,no precipitation
4/10/1990,0,DET,BOS,329730DETBOS,64,null,overcast,no precipitation
4/10/1990,0,SEA,ANA,329730SEACAL,null,null,night,no precipitation
4/10/1990,0,PHI,CHN,329730PHICHN,37,30,overcast,no precipitation
4/10/1990,0,CIN,HOU,329730CINHOU,null,null,in dome,null
4/10/1990,0,CHA,MIL,329730CHAMIL,43,31,sunny,no precipitation
4/10/1990,0,MIN,OAK,329730MINOAK,65,5,night,no precipitation
4/10/1990,0,LAN,SDN,329730LANSDN,70,0,night,no precipitation
4/10/1990,0,MON,SLN,329730MONSLN,44,13,night,no precipitation
4/10/1990,0,TEX,TOR,329730TEXTOR,null,null,in dome,null
4/11/1990,1,SFN,ATL,329741SFNATL,50,null,sunny,no precipitation
4/11/1990,2,SFN,ATL,329742SFNATL,55,null,night,no precipitation
4/11/1990,0,DET,BOS,329740DETBOS,58,null,cloudy,no precipitation
4/11/1990,0,SEA,ANA,329740SEACAL,70,0,night,no precipitation
4/11/1990,0,CIN,HOU,329740CINHOU,null,null,in dome,null
4/11/1990,0,BAL,KCA,329740BALKCA,45,null,night,no precipitation
4/11/1990,0,PIT,NYN,329740PITNYN,55,13,cloudy,no precipitation
4/11/1990,0,MIN,OAK,329740MINOAK,61,8,sunny,no precipitation
4/11/1990,0,LAN,SDN,329740LANSDN,70,0,night,no precipitation
4/11/1990,0,MON,SLN,329740MONSLN,44,17,cloudy,no precipitation
4/11/1990,0,TEX,TOR,329740TEXTOR,70,null,in dome,null
4/12/1990,0,SFN,ATL,329750SFNATL,59,null,sunny,no precipitation
4/12/1990,0,MIN,ANA,329750MINCAL,65,null,night,no precipitation
4/12/1990,1,PHI,CHN,329751PHICHN,38,10,sunny,no precipitation
4/12/1990,2,PHI,CHN,329752PHICHN,42,15,sunny,no precipitation
4/12/1990,0,BOS,DET,329750BOSDET,38,null,cloudy,no precipitation
4/12/1990,0,CLE,NYA,329750CLENYA,44,null,sunny,no precipitation
